Timestamp,How often do you use your smartwatch for the following reasons? [Fitness],How often do you use your smartwatch for the following reasons? [Communication],How often do you use your smartwatch for the following reasons? [Convenience],How often do you use your smartwatch for the following reasons? [Style/ Fashion],How often do you use your smartwatch for the following reasons? [Other],Please indicate your level of agreement to the following questions.  [I have a good understanding of the information that my smartwatch collects about me.],What types of data does your smartwatch collect about you?,Please indicate to the best of your knowledge the answers to the following questions. My smartwatch can track [my location.],Please indicate to the best of your knowledge the answers to the following questions. My smartwatch can track [my sleep.],Please indicate to the best of your knowledge the answers to the following questions. My smartwatch can track [information about my heart.],Please indicate to the best of your knowledge the answers to the following questions. My smartwatch can track [my audio data.],Please indicate to the best of your knowledge the answers to the following questions. My smartwatch can track [and share data with third-parties.],"Please indicate your level of comfort with your smartwatch collecting the following data about you. 
 [Steps]","Please indicate your level of comfort with your smartwatch collecting the following data about you. 
 [Distance Traveled]","Please indicate your level of comfort with your smartwatch collecting the following data about you. 
 [GPS location]","Please indicate your level of comfort with your smartwatch collecting the following data about you. 
 [Calories]","Please indicate your level of comfort with your smartwatch collecting the following data about you. 
 [Sleep time]","Please indicate your level of comfort with your smartwatch collecting the following data about you. 
 [Sleep quality]","Please indicate your level of comfort with your smartwatch collecting the following data about you. 
 [Physical exertion]","Please indicate your level of comfort with your smartwatch collecting the following data about you. 
 [Heart rate]","Please indicate your level of comfort with your smartwatch collecting the following data about you. 
 [EKG]","Please indicate your level of comfort with your smartwatch collecting the following data about you. 
 [Breath Rate]","Please indicate your level of comfort with your smartwatch collecting the following data about you. 
 [Blood Oxygen]","Please indicate your level of comfort with your smartwatch collecting the following data about you. 
 [Call/ Text data]","Please indicate your level of comfort with your smartwatch collecting the following data about you. 
 [Notifications]","Please indicate your level of comfort with your smartwatch collecting the following data about you. 
 [Driving data]","Please indicate your level of comfort with your smartwatch collecting the following data about you. 
 [Audio data]",Have you personally made manual changes to your smartwatchs data privacy settings?,Do you have concerns about privacy issues regarding your device? ,Do you trust your smartwatch manufacturer with your personal data?,Would you now modify your current privacy settings or change the way you use your smartwatch?
0,Sometimes,Often,Sometimes,Often,Sometimes,Agree,"Location, Heart Rate",Always,Often,Always,Sometimes,Always,Comfortable,Comfortable,Somewhat concerned,Comfortable,Comfortable,Comfortable,Comfortable,Somewhat concerned,Neither comfortable or concered,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Concerned,No,No,Yes,Yes
1,Often,Never,Sometimes,Sometimes,Never,Agree,"Location, Heart rate, audio",Often,Always,Never,Infrequently,Always,Comfortable,Comfortable,Somewhat comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neither comfortable or concered,Somewhat concerned,Neither comfortable or concered,Somewhat concerned,Yes,Yes,Yes,No
2,Never,Always,Sometimes,Infrequently,Never,Agree,Heart rate,Often,Often,Always,Infrequently,Never,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Somewhat concerned,Somewhat concerned,Neither comfortable or concered,Concerned,No,No,Yes,No
3,Always,Often,Often,Always,Never,Agree,Fitness,Always,Always,Always,Sometimes,Always,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,No,No,No,Yes
4,Always,Always,Often,Often,Often,Agree,"Fitness, location ",Always,Always,Always,Always,Often,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Somewhat concerned,Somewhat comfortable,Comfortable,Somewhat concerned,No,No,Yes,No
5,Often,Sometimes,Often,Often,Infrequently,Strongly Disagree,not sure,Often,Often,Sometimes,Often,Often,Somewhat comfortable,Somewhat comfortable,Somewhat concerned,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Neither comfortable or concered,Somewhat concerned,Somewhat concerned,No,Yes,No,Yes
6,Sometimes,Always,Always,Often,Sometimes,Strongly Disagree,"I’m unsure but mostly data about fitness and health such as how many steps, how many calories burned, and my heart rate. ",Sometimes,Sometimes,Often,Sometimes,Sometimes,Comfortable,Comfortable,Somewhat comfortable,Comfortable,Somewhat comfortable,Somewhat comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,No,Yes,No,No
7,Never,Never,Never,Never,Never,Strongly Agree,none no tengo smartwatch,Never,Never,Never,Never,Never,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,No,No,No,No
8,Never,Never,Never,Never,Never,Disagree,I Do Not Use a Smartwatch,Often,Often,Often,Often,Often,Neither comfortable or concered,Neither comfortable or concered,Concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Neither comfortable or concered,Concerned,Somewhat concerned,Concerned,Concerned,No,Yes,No,Yes
9,Always,Sometimes,Often,Infrequently,Sometimes,Agree,"Health data(heart rate, O2, etc) , GPS/location, contacts ",Always,Always,Always,Often,Sometimes,Comfortable,Comfortable,Neither comfortable or concered,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neither comfortable or concered,Neither comfortable or concered,Somewhat concerned,Somewhat concerned,Yes,Yes,No,Yes
10,Always,Often,Often,Sometimes,Sometimes,Strongly Agree,Anything/everything I do,Always,Sometimes,Always,Always,Often,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Somewhat comfortable,Somewhat comfortable,No,Yes,No,No
11,Always,Sometimes,Sometimes,Never,Always,Neither Agree or Disagree,"Health Data (Heart rate, calories, stand hours, breathing, weight, walking pace, stride length, sleep data). Location Data. Communication data (notifications, calls, texts)",Always,Always,Always,Always,Infrequently,Comfortable,Comfortable,Somewhat concerned,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Somewhat concerned,Neither comfortable or concered,Neither comfortable or concered,Concerned,Yes,Yes,Yes,Yes
